GPS Time (sec),day_index,Density_New (kg/m^3),Density_pre (kg/m³),F10.7_OBS,F10.7_OBS_CENTER81,AP,log_rho_true,log_rho_pre,log_rho_true_norm,log_rho_pre_norm,F10.7_OBS_norm,F10.7_OBS_CENTER81_norm,AP_norm
0.00000000e+00,29,1.13000000e-12,2.62323934e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19469216e+01,-1.15811621e+01,-8.17088527e-01,3.43573416e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
6.00000000e+01,29,1.12500000e-12,2.62416993e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19488475e+01,-1.15810080e+01,-8.27183898e-01,3.52240781e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.20000000e+02,29,1.18200000e-12,2.64156948e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19273825e+01,-1.15781380e+01,-7.14668023e-01,5.13733842e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.80000000e+02,29,1.22800000e-12,2.67384391e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19108016e+01,-1.15728639e+01,-6.27753633e-01,8.10490350e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
2.40000000e+02,29,1.28600000e-12,2.71917827e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18907590e+01,-1.15655623e+01,-5.22693503e-01,1.22133625e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
3.00000000e+02,29,1.30300000e-12,2.77574022e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18850556e+01,-1.15566212e+01,-4.92796940e-01,1.72443352e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
3.60000000e+02,29,1.41900000e-12,2.84097513e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18480176e+01,-1.15465326e+01,-2.98649741e-01,2.29209659e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
4.20000000e+02,29,1.50100000e-12,2.91061657e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18236193e+01,-1.15360150e+01,-1.70757750e-01,2.88389580e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
4.80000000e+02,29,1.55700000e-12,2.97833189e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18077114e+01,-1.15260269e+01,-8.73709618e-02,3.44590288e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
5.40000000e+02,29,1.62000000e-12,3.03499531e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.17904850e+01,-1.15178420e+01,2.92709751e-03,3.90645020e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
6.00000000e+02,29,1.65800000e-12,3.07040657e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.17804155e+01,-1.15128041e+01,5.57098761e-02,4.18991909e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
6.60000000e+02,29,1.59300000e-12,3.07551267e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.17977842e+01,-1.15120825e+01,-3.53343510e-02,4.23052380e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
7.20000000e+02,29,1.49200000e-12,3.04465995e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18262312e+01,-1.15164612e+01,-1.84448752e-01,3.98414289e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
7.80000000e+02,29,1.40400000e-12,2.97758909e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.18526329e+01,-1.15261352e+01,-3.22842345e-01,3.43980757e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
8.40000000e+02,29,1.24000000e-12,2.87988717e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19065783e+01,-1.15406245e+01,-6.05615670e-01,2.62452842e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
9.00000000e+02,29,1.13200000e-12,2.76111403e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19461536e+01,-1.15589157e+01,-8.13062880e-01,1.59532863e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
9.60000000e+02,29,1.03600000e-12,2.63290504e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.19846402e+01,-1.15795648e+01,-1.01480389e+00,4.33448659e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.02000000e+03,29,8.95400000e-13,2.50616758e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20479829e+01,-1.16009899e+01,-1.34683607e+00,-7.72091698e-02,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.08000000e+03,29,8.46800000e-13,2.38991441e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20722192e+01,-1.16216177e+01,-1.47387859e+00,-1.93276828e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.14000000e+03,29,8.36000000e-13,2.29027040e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20777937e+01,-1.16401132e+01,-1.50309961e+00,-2.97347240e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.20000000e+03,29,8.69300000e-13,2.21063680e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20608303e+01,-1.16554826e+01,-1.41418015e+00,-3.83827117e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.26000000e+03,29,9.49400000e-13,2.15226565e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20225508e+01,-1.16671041e+01,-1.21352485e+00,-4.49218746e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.32000000e+03,29,8.68300000e-13,2.11478671e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20613302e+01,-1.16747334e+01,-1.41680043e+00,-4.92147070e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.38000000e+03,29,8.41900000e-13,2.09689288e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20747395e+01,-1.16784238e+01,-1.48708981e+00,-5.12911689e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
1.44000000e+03,29,8.45100000e-13,2.09652634e-12,8.67000000e+01,7.92000000e+01,1.80000000e+01,-1.20730919e+01,-1.16784997e+01,-1.47845339e+00,-5.13338886e-01,6.18737295e-01,-1.15986681e+00,7.96010824e-01
